2443392.208333333, A.D. 1977-Sep-05 17:00:00.0000,  9.683391729127672E-01, -2.929211785128822E-01, -1.747416349072274E-05,  6.822733645171298E-03,  2.211157356158178E-02,  4.315134720997558E-04,
2443393.208333333, A.D. 1977-Sep-06 17:00:00.0000,  9.749689129116670E-01, -2.708843872557894E-01,  4.028666010756068E-04,  6.476707331668886E-03,  2.204788416493269E-02,  4.170110990385579E-04,
2443394.208333333, A.D. 1977-Sep-07 17:00:00.0000,  9.813027594471897E-01, -2.488050325914765E-01,  8.193358590498954E-04,  6.191558380141762E-03,  2.211177707262197E-02,  4.160666149453935E-04,
2443395.208333333, A.D. 1977-Sep-08 17:00:00.0000,  9.873523469646146E-01, -2.266611266072885E-01,  1.235104134658261E-03,  5.907607051867186E-03,  2.217539806458215E-02,  4.154843428665583E-04,
2443396.208333333, A.D. 1977-Sep-09 17:00:00.0000,  9.931178633371603E-01, -2.044558701641355E-01,  1.650306408536288E-03,  5.623353521938379E-03,  2.223419115753513E-02,  4.149132570400783E-04,
2443397.208333333, A.D. 1977-Sep-10 17:00:00.0000,  9.985989162369731E-01, -1.821946989709835E-01,  2.064909019908214E-03,  5.338693242070766E-03,  2.228713776967751E-02,  4.142785889138378E-04,
2443398.208333333, A.D. 1977-Sep-11 17:00:00.0000,  1.003795162562150E+00, -1.598836630744549E-01,  2.478833946253848E-03,  5.053773273416013E-03,  2.233388514196014E-02,  4.135554327697048E-04,
2443399.208333333, A.D. 1977-Sep-12 17:00:00.0000,  1.008706449341050E+00, -1.375290435978264E-01,  2.891987031511266E-03,  4.768813742193405E-03,  2.237429054622515E-02,  4.127338939002001E-04,
2443400.208333333, A.D. 1977-Sep-13 17:00:00.0000,  1.013335052313031E+00, -1.151358661550153E-01,  3.304120014109317E-03,  4.491302851472253E-03,  2.241275136318420E-02,  4.113227881932286E-04,
2443401.208333333, A.D. 1977-Sep-14 17:00:00.0000,  1.017684161151692E+00, -9.270877672677992E-02,  3.714937770040993E-03,  4.207013674617748E-03,  2.244036228858020E-02,  4.102954890330579E-04,
2443402.208333333, A.D. 1977-Sep-15 17:00:00.0000,  1.021749320062498E+00, -7.025726602185271E-02,  4.124676638624739E-03,  3.923445609885606E-03,  2.246160064210996E-02,  4.091651589803073E-04,
2443403.208333333, A.D. 1977-Sep-16 17:00:00.0000,  1.025531377431498E+00, -4.778768287478305E-02,  4.533234157571426E-03,  3.640852559734968E-03,  2.247651731516517E-02,  4.079330575375727E-04,
2443404.208333333, A.D. 1977-Sep-17 17:00:00.0000,  1.029031433266414E+00, -2.530631560518718E-02,  4.940509448944523E-03,  3.359483544061625E-03,  2.248518187321225E-02,  4.066010560702121E-04,
2443405.208333333, A.D. 1977-Sep-18 17:00:00.0000,  1.032250833451201E+00, -2.819374841248688E-03,  5.346403734888963E-03,  3.079581064302942E-03,  2.248767975506484E-02,  4.051714608625480E-04,
2443406.208333333, A.D. 1977-Sep-19 17:00:00.0000,  1.035191162592671E+00,  1.966702132925540E-02,  5.750820714033387E-03,  2.801379887253314E-03,  2.248411032280093E-02,  4.036469041143528E-04,
2443407.208333333, A.D. 1977-Sep-20 17:00:00.0000,  1.037854235791779E+00,  4.214686050110767E-02,  6.153666848876431E-03,  2.525106092791393E-03,  2.247458535171425E-02,  4.020302713055697E-04,
2443408.208333333, A.D. 1977-Sep-21 17:00:00.0000,  1.040242089560185E+00,  6.461424771405537E-02,  6.554851591734009E-03,  2.250976307847271E-03,  2.245922775784548E-02,  4.003246491123803E-04,
2443409.208333333, A.D. 1977-Sep-22 17:00:00.0000,  1.042356972045891E+00,  8.706341601594721E-02,  6.954287565204585E-03,  1.979197085240966E-03,  2.243817045930602E-02,  3.985332855168592E-04,
2443410.208333333, A.D. 1977-Sep-23 17:00:00.0000,  1.044201332699630E+00,  1.094887359299497E-01,  7.351890706860898E-03,  1.709964403558970E-03,  2.241155531696535E-02,  3.966595575823081E-04,
2443411.208333333, A.D. 1977-Sep-24 17:00:00.0000,  1.045777811495652E+00,  1.318847238898659E-01,  7.747580384354435E-03,  1.443463274032949E-03,  2.237953212662907E-02,  3.947069441963347E-04,
2443412.208333333, A.D. 1977-Sep-25 17:00:00.0000,  1.047089227808444E+00,  1.542460496870320E-01,  8.141279485122352E-03,  1.179867444117526E-03,  2.234225764851196E-02,  3.926790023034444E-04,
2443413.208333333, A.D. 1977-Sep-26 17:00:00.0000,  1.048138569038315E+00,  1.765675429626874E-01,  8.532914483625822E-03,  9.193391906906670E-04,  2.229989466819732E-02,  3.905793456500856E-04,
2443414.208333333, A.D. 1977-Sep-27 17:00:00.0000,  1.048928979072165E+00,  1.988441987761505E-01,  8.922415488389450E-03,  6.620291959398131E-04,  2.225261108715282E-02,  3.884116255591578E-04,
2443415.208333333, A.D. 1977-Sep-28 17:00:00.0000,  1.049463746659043E+00,  2.210711822785514E-01,  9.309716270671269E-03,  4.080765002161786E-04,  2.220057904364948E-02,  3.861795133749906E-04,
2443416.208333333, A.D. 1977-Sep-29 17:00:00.0000,  1.049746293774649E+00,  2.432438325234917E-01,  9.694754276317967E-03,  1.576085261442026E-04,  2.214397406610236E-02,  3.838866843603658E-04,
2443417.208333333, A.D. 1977-Sep-30 17:00:00.0000,  1.049780164043222E+00,  2.653576654483550E-01,  1.007747062218675E-02, -8.925883188512591E-05,  2.208297426124578E-02,  3.815368029064855E-04,
