2443392.208333333, A.D. 1977-Sep-05 17:00:00.0000,  9.683391729127672E-01, -2.929211785128822E-01, -1.747416349072274E-05,  6.822733645171298E-03,  2.211157356158178E-02,  4.315134720997558E-04,  5.842939701929039E-03,  1.011673648428239E+00,  1.282671822095052E-04,
2443393.208333333, A.D. 1977-Sep-06 17:00:00.0000,  9.749689129116670E-01, -2.708843872557894E-01,  4.028666010756068E-04,  6.476707331668886E-03,  2.204788416493269E-02,  4.170110990385579E-04,  5.844250665868595E-03,  1.011900634798003E+00,  3.383026970946012E-04,
2443394.208333333, A.D. 1977-Sep-07 17:00:00.0000,  9.813027594471897E-01, -2.488050325914765E-01,  8.193358590498954E-04,  6.191558380141762E-03,  2.211177707262197E-02,  4.160666149453935E-04,  5.846866517455394E-03,  1.012353555460129E+00,  5.676009173875198E-04,
2443395.208333333, A.D. 1977-Sep-08 17:00:00.0000,  9.873523469646146E-01, -2.266611266072885E-01,  1.235104134658261E-03,  5.907607051867186E-03,  2.217539806458215E-02,  4.154843428665583E-04,  5.850806596052261E-03,  1.013035758921491E+00,  7.967163435686846E-04,
2443396.208333333, A.D. 1977-Sep-09 17:00:00.0000,  9.931178633371603E-01, -2.044558701641355E-01,  1.650306408536288E-03,  5.623353521938379E-03,  2.223419115753513E-02,  4.149132570400783E-04,  5.856068055965072E-03,  1.013946752465425E+00,  1.025129441429806E-03,
2443397.208333333, A.D. 1977-Sep-10 17:00:00.0000,  9.985989162369731E-01, -1.821946989709835E-01,  2.064909019908214E-03,  5.338693242070766E-03,  2.228713776967751E-02,  4.142785889138378E-04,  5.862646038025023E-03,  1.015085694752933E+00,  1.252574421006653E-03,
2443398.208333333, A.D. 1977-Sep-11 17:00:00.0000,  1.003795162562150E+00, -1.598836630744549E-01,  2.478833946253848E-03,  5.053773273416013E-03,  2.233388514196014E-02,  4.135554327697048E-04,  5.870534290775238E-03,  1.016451503377811E+00,  1.478826021320604E-03,
2443399.208333333, A.D. 1977-Sep-12 17:00:00.0000,  1.008706449341050E+00, -1.375290435978264E-01,  2.891987031511266E-03,  4.768813742193405E-03,  2.237429054622515E-02,  4.127338939002001E-04,  5.879725306680799E-03,  1.018042878450682E+00,  1.703672856257917E-03,
2443400.208333333, A.D. 1977-Sep-13 17:00:00.0000,  1.013335052313031E+00, -1.151358661550153E-01,  3.304120014109317E-03,  4.491302851472253E-03,  2.241275136318420E-02,  4.113227881932286E-04,  5.890222089248252E-03,  1.019860340012585E+00,  1.933639392885382E-03,
2443401.208333333, A.D. 1977-Sep-14 17:00:00.0000,  1.017684161151692E+00, -9.270877672677992E-02,  3.714937770040993E-03,  4.207013674617748E-03,  2.244036228858020E-02,  4.102954890330579E-04,  5.902030893419058E-03,  1.021904971073062E+00,  2.155304974417865E-03,
2443402.208333333, A.D. 1977-Sep-15 17:00:00.0000,  1.021749320062498E+00, -7.025726602185271E-02,  4.124676638624739E-03,  3.923445609885606E-03,  2.246160064210996E-02,  4.091651589803073E-04,  5.915114246387787E-03,  1.024170283416980E+00,  2.374971180056925E-03,
2443403.208333333, A.D. 1977-Sep-16 17:00:00.0000,  1.025531377431498E+00, -4.778768287478305E-02,  4.533234157571426E-03,  3.640852559734968E-03,  2.247651731516517E-02,  4.079330575375727E-04,  5.929460074979031E-03,  1.026654186638818E+00,  2.592457275031883E-03,
2443404.208333333, A.D. 1977-Sep-17 17:00:00.0000,  1.029031433266414E+00, -2.530631560518718E-02,  4.940509448944523E-03,  3.359483544061625E-03,  2.248518187321225E-02,  4.066010560702121E-04,  5.945055285560727E-03,  1.029354413646463E+00,  2.807590695199734E-03,
2443405.208333333, A.D. 1977-Sep-18 17:00:00.0000,  1.032250833451201E+00, -2.819374841248688E-03,  5.346403734888963E-03,  3.079581064302942E-03,  2.248767975506484E-02,  4.051714608625480E-04,  5.961885812496685E-03,  1.032268529050504E+00,  3.020207479198327E-03,
2443406.208333333, A.D. 1977-Sep-19 17:00:00.0000,  1.035191162592671E+00,  1.966702132925540E-02,  5.750820714033387E-03,  2.801379887253314E-03,  2.248411032280093E-02,  4.036469041143528E-04,  5.979936668981580E-03,  1.035393937966036E+00,  3.230152657822868E-03,
2443407.208333333, A.D. 1977-Sep-20 17:00:00.0000,  1.037854235791779E+00,  4.214686050110767E-02,  6.153666848876431E-03,  2.525106092791393E-03,  2.247458535171425E-02,  4.020302713055697E-04,  5.999191999963842E-03,  1.038727895175981E+00,  3.437280585994079E-03,
2443408.208333333, A.D. 1977-Sep-21 17:00:00.0000,  1.040242089560185E+00,  6.461424771405537E-02,  6.554851591734009E-03,  2.250976307847271E-03,  2.245922775784548E-02,  4.003246491123803E-04,  6.019635136803436E-03,  1.042267514594782E+00,  3.641455211214523E-03,
2443409.208333333, A.D. 1977-Sep-22 17:00:00.0000,  1.042356972045891E+00,  8.706341601594721E-02,  6.954287565204585E-03,  1.979197085240966E-03,  2.243817045930602E-02,  3.985332855168592E-04,  6.041248653291769E-03,  1.046009778967952E+00,  3.842550276371805E-03,
2443410.208333333, A.D. 1977-Sep-23 17:00:00.0000,  1.044201332699630E+00,  1.094887359299497E-01,  7.351890706860898E-03,  1.709964403558970E-03,  2.241155531696535E-02,  3.966595575823081E-04,  6.064014422651643E-03,  1.049951549741314E+00,  4.040449456648040E-03,
2443411.208333333, A.D. 1977-Sep-24 17:00:00.0000,  1.045777811495652E+00,  1.318847238898659E-01,  7.747580384354435E-03,  1.443463274032949E-03,  2.237953212662907E-02,  3.947069441963347E-04,  6.087913675142658E-03,  1.054089577035060E+00,  4.235046432517113E-03,
